epoch,mark,Measured Torque,Desired Torque,DPJMC Alpha,DPJMC Tau Des PF,Pressure Total,COP AP,COP ML,DPJMC State,DPJMC Fault Flags,Exoskeleton time (seconds)
1779334529.282888,0,0.000000,0.000000,0.000000,0.000000,189.350000,0.050000,-0.330000,0.000000,48.000000,25.520000
1779334529.296914,0,0.000000,0.000000,0.000000,0.000000,189.350000,0.050000,-0.330000,0.000000,48.000000,25.530000
1779334529.297914,0,0.000000,0.000000,0.000000,0.000000,189.350000,0.050000,-0.330000,0.000000,48.000000,25.540000
1779334529.319413,0,0.000000,0.000000,0.000000,0.000000,189.350000,0.050000,-0.330000,0.000000,48.000000,25.540000
1779334529.333913,0,0.000000,0.000000,0.000000,0.000000,189.350000,0.050000,-0.330000,0.000000,48.000000,25.550000
1779334529.343415,0,0.000000,0.000000,0.000000,0.000000,182.030000,0.050000,-0.330000,0.000000,48.000000,25.560000
1779334529.344413,0,0.000000,0.000000,0.000000,0.000000,182.030000,0.050000,-0.330000,0.000000,48.000000,25.570000
1779334529.357422,0,0.000000,0.000000,0.000000,0.000000,182.030000,0.050000,-0.330000,0.000000,48.000000,25.590000
1779334529.379421,0,0.000000,0.000000,0.000000,0.000000,182.030000,0.050000,-0.330000,0.000000,48.000000,25.600000
1779334529.386286,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.620000
1779334529.401351,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.620000
1779334529.402351,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.630000
1779334529.403350,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.630000
1779334529.419875,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.640000
1779334529.424376,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.670000
1779334529.439880,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.680000
1779334529.455029,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.690000
1779334529.469027,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.700000
1779334529.487028,0,0.000000,0.000000,0.000000,0.000000,176.940000,0.050000,-0.310000,0.000000,48.000000,25.700000
1779334529.489028,0,0.000000,0.000000,0.000000,0.000000,169.770000,0.050000,-0.310000,0.000000,49.000000,25.710000
1779334529.492043,0,0.000000,0.000000,0.000000,0.000000,169.770000,0.050000,-0.310000,0.000000,49.000000,25.720000
1779334529.499543,0,0.000000,0.000000,0.000000,0.000000,169.770000,0.050000,-0.310000,0.000000,49.000000,25.730000
1779334529.514550,0,0.000000,0.000000,0.000000,0.000000,169.770000,0.050000,-0.310000,0.000000,49.000000,25.750000
1779334529.537534,0,0.000000,0.000000,0.000000,0.000000,169.770000,0.050000,-0.310000,0.000000,49.000000,25.760000
1779334529.544533,0,0.000000,0.000000,0.000000,0.000000,168.610000,0.050000,-0.310000,0.000000,48.000000,25.770000
1779334529.554132,0,0.000000,0.000000,0.000000,0.000000,168.610000,0.050000,-0.310000,0.000000,48.000000,25.780000
1779334529.559820,0,0.000000,0.000000,0.000000,0.000000,168.610000,0.050000,-0.310000,0.000000,48.000000,25.790000
1779334529.581625,0,0.000000,0.000000,0.000000,0.000000,168.610000,0.050000,-0.310000,0.000000,48.000000,25.790000
1779334529.589617,0,0.000000,0.000000,0.000000,0.000000,168.610000,0.050000,-0.310000,0.000000,48.000000,25.800000
1779334529.599617,0,0.000000,0.000000,0.000000,0.000000,167.860000,0.050000,-0.310000,0.000000,48.000000,25.820000
1779334529.600617,0,0.000000,0.000000,0.000000,0.000000,167.860000,0.050000,-0.310000,0.000000,48.000000,25.840000
1779334529.612314,0,0.000000,0.000000,0.000000,0.000000,167.860000,0.050000,-0.310000,0.000000,48.000000,25.850000
1779334529.619814,0,0.000000,0.000000,0.000000,0.000000,167.860000,0.050000,-0.310000,0.000000,48.000000,25.860000
1779334529.634815,0,0.000000,0.000000,0.000000,0.000000,167.860000,0.050000,-0.310000,0.000000,48.000000,25.870000
1779334529.647315,0,0.000000,0.000000,0.000000,0.000000,167.380000,0.050000,-0.310000,0.000000,48.000000,25.870000
1779334529.656814,0,0.000000,0.000000,0.000000,0.000000,167.380000,0.050000,-0.310000,0.000000,48.000000,25.880000
1779334529.664314,0,0.000000,0.000000,0.000000,0.000000,167.380000,0.050000,-0.310000,0.000000,48.000000,25.890000
1779334529.687315,0,0.000000,0.000000,0.000000,0.000000,167.380000,0.050000,-0.310000,0.000000,48.000000,25.900000
